species,species_code,threshold,logit_score,confidence_score
White-throated Swift,4,0.85,1.205706209,NA
White-throated Swift,4,0.9,1.554333052,0.825538678
White-throated Swift,4,0.95,2.117423742,0.892585176
White-throated Swift,4,0.975,2.65934488,NA
White-throated Swift,4,0.99,3.361354571,0.966474694
Rufous-crowned Sparrow,7,0.85,2.052037425,NA
Rufous-crowned Sparrow,7,0.9,2.33704259,0.911898778
Rufous-crowned Sparrow,7,0.95,2.797373622,0.942533734
Rufous-crowned Sparrow,7,0.975,3.24039838,NA
Rufous-crowned Sparrow,7,0.99,3.814296779,0.978422633
California Scrub-Jay,15,0.85,-1.770224735,NA
California Scrub-Jay,15,0.9,-1.43369428,0.192523725
California Scrub-Jay,15,0.95,-0.890141283,0.291080672
California Scrub-Jay,15,0.975,-0.367023313,NA
California Scrub-Jay,15,0.99,0.310628581,0.577038683
Woodhouse's Scrub-Jay,16,0.85,0.060321211,NA
Woodhouse's Scrub-Jay,16,0.9,0.47025534,0.61544419
Woodhouse's Scrub-Jay,16,0.95,1.132367555,0.756275558
Woodhouse's Scrub-Jay,16,0.975,1.769587476,NA
Woodhouse's Scrub-Jay,16,0.99,2.595048099,0.930542203
Oak Titmouse,25,0.85,0.998270231,NA
Oak Titmouse,25,0.9,1.468917175,0.812892746
Oak Titmouse,25,0.95,2.229090747,0.902831622
Oak Titmouse,25,0.975,2.96068538,NA
Oak Titmouse,25,0.99,3.908399886,0.980322387
Red-tailed Hawk,31,0.85,1.318554178,NA
Red-tailed Hawk,31,0.9,1.706824742,0.846423985
Red-tailed Hawk,31,0.95,2.333946674,0.911649737
Red-tailed Hawk,31,0.975,2.937491782,NA
Red-tailed Hawk,31,0.99,3.719329739,0.976323933
Red-shouldered Hawk,33,0.85,1.63737447,NA
Red-shouldered Hawk,33,0.9,1.849862502,0.864110958
Red-shouldered Hawk,33,0.95,2.19306623,0.899625126
Red-shouldered Hawk,33,0.975,2.523367119,NA
Red-shouldered Hawk,33,0.99,2.951241967,0.950322154
California Quail,37,0.85,1.091098383,NA
California Quail,37,0.9,1.421585049,0.805586782
California Quail,37,0.95,1.955376318,0.876031692
California Quail,37,0.975,2.469099555,NA
California Quail,37,0.99,3.134581423,0.95829687
Wilson's Warbler,42,0.85,0.392501711,NA
Wilson's Warbler,42,0.9,0.611478256,0.648277939
Wilson's Warbler,42,0.95,0.965162021,0.724154136
Wilson's Warbler,42,0.975,1.305548945,NA
Wilson's Warbler,42,0.99,1.746489339,0.851509458
Hermit Thrush,45,0.85,-2.324012567,NA
Hermit Thrush,45,0.9,-1.639050945,0.162594242
Hermit Thrush,45,0.95,-0.532723306,0.369881944
Hermit Thrush,45,0.975,0.532011635,NA
Hermit Thrush,45,0.99,1.911279199,0.871162791
Swainson's Thrush,46,0.85,-0.769875898,NA
